,line,word,char,name
,2,2,25,r/cleaned/text_data_2021-03-17.csv
,2,2,25,r/cleaned/text_data_2021-03-18.csv
,2,2,25,r/cleaned/text_data_2021-03-19.csv
,2,2,25,r/cleaned/text_data_2021-03-20.csv
,2,2,25,r/cleaned/text_data_2021-03-21.csv
,2,2,25,r/cleaned/text_data_2021-03-22.csv
,2,2,25,r/cleaned/text_data_2021-03-23.csv
,2,2,25,r/cleaned/text_data_2021-03-24.csv
,2,2,25,r/cleaned/text_data_2021-03-25.csv
,1048,25879,186687,r/cleaned/text_data_2021-03-26.csv
,5222,122818,882837,r/cleaned/text_data_2021-03-27.csv
,7199,169658,1220500,r/cleaned/text_data_2021-03-28.csv
,7563,176463,1272010,r/cleaned/text_data_2021-03-29.csv
,7020,159249,1144918,r/cleaned/text_data_2021-03-30.csv
,6651,161249,1160485,r/cleaned/text_data_2021-03-31.csv
,6821,154354,1107479,r/cleaned/text_data_2021-04-01.csv
,5368,130770,933685,r/cleaned/text_data_2021-04-02.csv
,4969,128209,918391,r/cleaned/text_data_2021-04-03.csv
,7095,160824,1171913,r/cleaned/text_data_2021-04-04.csv
,7636,178642,1284902,r/cleaned/text_data_2021-04-05.csv
,8792,216565,1538530,r/cleaned/text_data_2021-04-06.csv
,7093,176209,1257048,r/cleaned/text_data_2021-04-07.csv
,6716,160535,1150254,r/cleaned/text_data_2021-04-08.csv
,2,2,25,r/cleaned/text_data_2021-04-09.csv
,2,2,25,r/cleaned/text_data_2021-04-10.csv
,2,2,25,r/cleaned/text_data_2021-04-11.csv
,2,2,25,r/cleaned/text_data_2021-04-12.csv
,5845,128830,930155,r/cleaned/text_data_2021-04-13.csv
,6828,163366,1168075,r/cleaned/text_data_2021-04-14.csv
,6325,153237,1096968,r/cleaned/text_data_2021-04-15.csv
,4249,99990,720856,r/cleaned/text_data_2021-04-16.csv
,4987,119249,853855,r/cleaned/text_data_2021-04-17.csv
,5849,150939,1076911,r/cleaned/text_data_2021-04-18.csv
,5350,140935,1004821,r/cleaned/text_data_2021-04-19.csv
,4606,113289,814924,r/cleaned/text_data_2021-04-20.csv
,2,2,25,r/cleaned/text_data_2021-04-21.csv
,5591,134024,965556,r/cleaned/text_data_2021-04-22.csv
,5337,122535,878142,r/cleaned/text_data_2021-04-23.csv
,4394,106671,769602,r/cleaned/text_data_2021-04-24.csv
,6876,162211,1173920,r/cleaned/text_data_2021-04-25.csv
,5322,125576,908109,r/cleaned/text_data_2021-04-26.csv
,5431,138833,1002850,r/cleaned/text_data_2021-04-27.csv
,4949,118709,860247,r/cleaned/text_data_2021-04-28.csv
,5872,140587,1006696,r/cleaned/text_data_2021-04-29.csv
,3766,96874,695158,r/cleaned/text_data_2021-04-30.csv
,3150,71075,510572,r/cleaned/text_data_2021-05-01.csv
,4605,102642,746653,r/cleaned/text_data_2021-05-02.csv
,4333,108074,776007,r/cleaned/text_data_2021-05-03.csv
,4727,111217,805474,r/cleaned/text_data_2021-05-04.csv
,3941,94438,683403,r/cleaned/text_data_2021-05-05.csv
,3742,86510,624722,r/cleaned/text_data_2021-05-06.csv
,3533,86108,624120,r/cleaned/text_data_2021-05-07.csv
,2580,60727,439966,r/cleaned/text_data_2021-05-08.csv
,4609,112884,816888,r/cleaned/text_data_2021-05-09.csv
,4128,93254,670323,r/cleaned/text_data_2021-05-10.csv
,4483,105609,764271,r/cleaned/text_data_2021-05-11.csv
,7024,175432,1255172,r/cleaned/text_data_2021-05-12.csv
,2,2,25,r/cleaned/text_data_2021-05-13.csv
,6492,149759,1073829,r/cleaned/text_data_2021-05-14.csv
,6103,150367,1081118,r/cleaned/text_data_2021-05-15.csv
,9268,228179,1637830,r/cleaned/text_data_2021-05-16.csv
,6175,143857,1028092,r/cleaned/text_data_2021-05-17.csv
,5214,116518,842134,r/cleaned/text_data_2021-05-18.csv
,4403,92128,670229,r/cleaned/text_data_2021-05-19.csv
,4050,92858,672424,r/cleaned/text_data_2021-05-20.csv
,2536,57804,419913,r/cleaned/text_data_2021-05-21.csv
,3138,65046,474582,r/cleaned/text_data_2021-05-22.csv
,4059,85966,622236,r/cleaned/text_data_2021-05-23.csv
,3507,70403,513752,r/cleaned/text_data_2021-05-24.csv
,4135,91423,663647,r/cleaned/text_data_2021-05-25.csv
,4131,85294,621209,r/cleaned/text_data_2021-05-26.csv
,3079,76510,557003,r/cleaned/text_data_2021-05-27.csv
,3152,72880,533760,r/cleaned/text_data_2021-05-28.csv
,3213,72478,525955,r/cleaned/text_data_2021-05-29.csv
,2,2,25,r/cleaned/text_data_2021-05-30.csv
,2781,64418,467449,r/cleaned/text_data_2021-05-31.csv
,2611,58638,424488,r/cleaned/text_data_2021-06-01.csv
,3379,68673,499149,r/cleaned/text_data_2021-06-02.csv
,3193,72114,520397,r/cleaned/text_data_2021-06-03.csv
,2727,53443,391586,r/cleaned/text_data_2021-06-04.csv
,2475,55423,401456,r/cleaned/text_data_2021-06-05.csv
,2,2,25,r/cleaned/text_data_2021-06-06.csv
,3281,77496,566899,r/cleaned/text_data_2021-06-07.csv
,2935,59164,431186,r/cleaned/text_data_2021-06-08.csv
,3095,64983,472018,r/cleaned/text_data_2021-06-09.csv
,2,2,25,r/cleaned/text_data_2021-06-10.csv
,2188,48838,353418,r/cleaned/text_data_2021-06-11.csv
,2259,49402,354860,r/cleaned/text_data_2021-06-12.csv
,3225,70142,508795,r/cleaned/text_data_2021-06-13.csv
,2698,58162,421302,r/cleaned/text_data_2021-06-14.csv
,2622,59545,432880,r/cleaned/text_data_2021-06-15.csv
,3757,90715,654177,r/cleaned/text_data_2021-06-16.csv
,2,2,25,r/cleaned/text_data_2021-06-17.csv
,2768,59338,426841,r/cleaned/text_data_2021-06-18.csv
,2498,54097,397314,r/cleaned/text_data_2021-06-19.csv
,2846,62287,453730,r/cleaned/text_data_2021-06-20.csv
,2947,62221,453495,r/cleaned/text_data_2021-06-21.csv
,3276,67860,498600,r/cleaned/text_data_2021-06-22.csv
,3732,78587,575111,r/cleaned/text_data_2021-06-23.csv
,3379,73533,533114,r/cleaned/text_data_2021-06-24.csv
,3820,83433,601215,r/cleaned/text_data_2021-06-25.csv
,3221,72434,523843,r/cleaned/text_data_2021-06-26.csv
,3718,87308,632737,r/cleaned/text_data_2021-06-27.csv
,3963,101191,728439,r/cleaned/text_data_2021-06-28.csv
,4772,116234,834951,r/cleaned/text_data_2021-06-29.csv
,2677,54800,398398,r/cleaned/text_data_2021-06-30.csv
,2991,58651,429906,r/cleaned/text_data_2021-07-01.csv
,2752,58130,428111,r/cleaned/text_data_2021-07-02.csv
,2499,59516,431322,r/cleaned/text_data_2021-07-03.csv
,3244,69000,501864,r/cleaned/text_data_2021-07-04.csv
,801,20948,150272,r/cleaned/text_data_2021-07-05.csv
,4012,97549,702414,r/cleaned/text_data_2021-07-06.csv
,3931,88919,644069,r/cleaned/text_data_2021-07-07.csv
,4281,100700,733562,r/cleaned/text_data_2021-07-08.csv
,4272,93764,681360,r/cleaned/text_data_2021-07-09.csv
,4359,98847,717965,r/cleaned/text_data_2021-07-10.csv
,3462,85468,621543,r/cleaned/text_data_2021-07-11.csv
,4681,106798,776319,r/cleaned/text_data_2021-07-12.csv
,4196,102674,750066,r/cleaned/text_data_2021-07-13.csv
,3910,85209,620412,r/cleaned/text_data_2021-07-14.csv
,4800,115597,839662,r/cleaned/text_data_2021-07-15.csv
,4104,98203,711484,r/cleaned/text_data_2021-07-16.csv
,4754,127957,882245,r/cleaned/text_data_2021-07-17.csv
,4611,107149,780852,r/cleaned/text_data_2021-07-18.csv
,4248,98991,720508,r/cleaned/text_data_2021-07-19.csv
,5514,129894,940131,r/cleaned/text_data_2021-07-20.csv
,6584,152220,1100606,r/cleaned/text_data_2021-07-21.csv
,6084,134188,971173,r/cleaned/text_data_2021-07-22.csv
,4583,112885,819930,r/cleaned/text_data_2021-07-23.csv
,4653,112993,816505,r/cleaned/text_data_2021-07-24.csv
,5238,115614,838438,r/cleaned/text_data_2021-07-25.csv
,2,2,25,r/cleaned/text_data_2021-07-26.csv
,2,2,25,r/cleaned/text_data_2021-07-27.csv
,8688,196941,1421258,r/cleaned/text_data_2021-07-28.csv
,9483,227383,1646301,r/cleaned/text_data_2021-07-29.csv
,6526,157541,1142702,r/cleaned/text_data_2021-07-30.csv
,9804,236023,1706996,r/cleaned/text_data_2021-07-31.csv
,2,2,25,r/cleaned/text_data_2021-08-01.csv
,8343,189605,1370045,r/cleaned/text_data_2021-08-02.csv
,7720,180718,1308356,r/cleaned/text_data_2021-08-03.csv
,7487,179980,1298685,r/cleaned/text_data_2021-08-04.csv
,7946,184913,1343756,r/cleaned/text_data_2021-08-05.csv
,7704,170474,1242061,r/cleaned/text_data_2021-08-06.csv
,5538,128861,937817,r/cleaned/text_data_2021-08-07.csv
,7048,163970,1188660,r/cleaned/text_data_2021-08-08.csv
,6670,162935,1173103,r/cleaned/text_data_2021-08-09.csv
,6034,143548,1038315,r/cleaned/text_data_2021-08-10.csv
,7145,168025,1214364,r/cleaned/text_data_2021-08-11.csv
,2,2,25,r/cleaned/text_data_2021-08-12.csv
,2,2,25,r/cleaned/text_data_2021-08-13.csv
,4849,125124,908789,r/cleaned/text_data_2021-08-14.csv
,5485,136494,983958,r/cleaned/text_data_2021-08-15.csv
,6083,152403,1090679,r/cleaned/text_data_2021-08-16.csv
,5412,128779,931674,r/cleaned/text_data_2021-08-17.csv
,5582,139956,1010054,r/cleaned/text_data_2021-08-18.csv
,5117,119190,865538,r/cleaned/text_data_2021-08-19.csv
,4773,124130,894988,r/cleaned/text_data_2021-08-20.csv
,6637,149510,1077374,r/cleaned/text_data_2021-08-21.csv
,8047,189609,1357048,r/cleaned/text_data_2021-08-22.csv
,7108,169623,1232635,r/cleaned/text_data_2021-08-23.csv
,7770,183371,1333067,r/cleaned/text_data_2021-08-24.csv
,6798,156802,1135657,r/cleaned/text_data_2021-08-25.csv
,6383,140174,1024117,r/cleaned/text_data_2021-08-26.csv
,4829,119353,864512,r/cleaned/text_data_2021-08-27.csv
,4266,106633,776258,r/cleaned/text_data_2021-08-28.csv
,5076,120474,873281,r/cleaned/text_data_2021-08-29.csv
,4838,117146,843291,r/cleaned/text_data_2021-08-30.csv
,5157,125658,909185,r/cleaned/text_data_2021-08-31.csv
,5271,123292,896421,r/cleaned/text_data_2021-09-01.csv
,5101,115433,838965,r/cleaned/text_data_2021-09-02.csv
,3862,89020,643967,r/cleaned/text_data_2021-09-03.csv
,3058,70114,511607,r/cleaned/text_data_2021-09-04.csv
,3325,80380,582027,r/cleaned/text_data_2021-09-05.csv
,4699,108229,786987,r/cleaned/text_data_2021-09-06.csv
,5047,117076,848379,r/cleaned/text_data_2021-09-07.csv
,4096,92576,678474,r/cleaned/text_data_2021-09-08.csv
,7231,171024,1244529,r/cleaned/text_data_2021-09-09.csv
