,date,new_cases,d_s_pos,d_s_neg,total,por_pos,por_neg,pos_strength,neg_strength
455,21-04-2021,13.700758299858167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456,22-04-2021,13.709848885852283,0.15097503,0.84902497,8.84130362,0.424984655,-0.879409814,0.06416207103816465,-0.7466408909490555
457,23-04-2021,13.714866679243348,0.138040099,0.861959901,8.736328721,-0.217392649,-0.555174021,-0.03000890278983225,-0.4785377441789319
458,24-04-2021,13.620140235120632,0.115674969,0.884325031,8.706655856,-0.537800705,0.160876572,-0.062210079879053144,0.14226717952107373
459,25-04-2021,13.494103469977528,0.126918905,0.873081095,9.022684614,-0.686731927,0.393637312,-0.08715926420337992,0.34367729539381664
460,26-04-2021,13.43232442024693,0.138529767,0.861470233,8.890548246,0.02414286,0.978731817,0.00334450477051362,0.8431483264355034
461,27-04-2021,13.647521399892565,0.134242667,0.865757333,8.906528918,0.453684343,-2.095167375,0.06090379618046279,-1.8139065187686108
462,28-04-2021,13.719318989851368,0.127741517,0.872258483,8.816260209,-0.450077712,0.812711168,-0.057493609698769106,0.7088942105168381
463,29-04-2021,13.706881372688343,0.114831777,0.885168223,9.051930635,0.576057805,-0.294062869,0.06614974140286949,-0.2602951072030118
464,30-04-2021,13.688257699742122,0.131968427,0.868031573,8.629271095,0.922928208,0.028366521,0.12179738384368881,0.024623035844167532
465,01-05-2021,13.590783253174347,0.127197974,0.872802026,8.324336333,-0.322084623,0.430135668,-0.040968511502153804,0.3754232824852634
466,02-05-2021,13.423386066793183,0.157275215,0.842724785,8.576405051,-0.145825057,0.188360454,-0.022934667192062257,0.1587360230996524
467,03-05-2021,13.429122814212697,0.149085094,0.850914906,8.66077392,-0.012557292,-0.394894086,-0.0018721050582054478,-0.3360212640686459
468,04-05-2021,13.60259947591627,0.132066205,0.867933795,8.730367212,-0.522715138,0.185934032,-0.06903300457171128,0.16137843001341143
469,05-05-2021,13.644540725849922,0.157738116,0.842261884,8.540519017,-0.151477085,1.269331569,-0.023893710005071865,1.069109598726616
470,06-05-2021,13.676786277032216,0.139064484,0.860935516,8.493924564,-0.08727505,-0.696110317,-0.0121368597943242,-0.5993060949593185
471,07-05-2021,13.63336378589458,0.099028513,0.900971487,8.533656917,0.449458028,0.460001192,0.044509160168752365,0.4144479579780125
472,08-05-2021,13.576277004026108,0.125077173,0.874922827,8.262042844,0.186749853,-0.860264598,0.02335814367140557,-0.7526651340501785
473,09-05-2021,13.373175012639326,0.14199873,0.85800127,8.712759975,0.305042907,-0.321268494,0.0433157053895081,-0.2756487758629874
474,10-05-2021,13.335975246219917,0.154158505,0.845841495,8.578288291,-0.139525727,-0.774453504,-0.021509077483358133,-0.6550649096313486
475,11-05-2021,13.513659240878296,0.122645439,0.877354561,8.665268309,0.781811564,-0.395994223,0.09588562248205659,-0.3474273376787011
